瘪	癟
瘫	癱
瘺	瘻
瘾	癮
瘿	癭
癞	癩
癡	痴
癢	痒
癣	癬
癫	癲
發	発
皂	梍
皋	皐
皑	皚
皰	疱
皱	皺
皲	皸
盏	盞
盐	塩
监	監
盖	蓋
盘	盤
盜	盗
盡	尽
盪	蕩
眍	瞘
眞	真
眦	眥
眬	矓
眯	瞇
眾	衆
着	著
睁	睜
睐	睞
睑	瞼
睪	睾
睿	叡
瞆	瞶
瞋	嗔
瞒	瞞
瞩	矚
矫	矯
矶	磯
矾	礬
矿	鉱
砀	碭
码	碼
砖	甎
砗	硨
砚	硯
砜	碸
砺	礪
砻	礱
砾	礫
础	礎
硁	硜
硏	研
硕	碩
硖	硤
硗	磽
硙	磑
硚	礄
确	確
硵	磠
硷	鹸
碍	礙
碎	砕
碗	椀
碛	磧
碜	磣
碱	鹼
磚	甎
磷	燐
礙	碍
礦	鉱
礪	砺
祃	禡
祇	祗
祎	禕
祕	秘
祢	禰
祯	禎
祷	禱
祸	禍
祿	禄
禀	稟
禄	祿
禪	禅
禮	礼
禱	祷
离	離
秃	禿
秆	稈
种	種
积	積
秽	穢
秾	穠
稅	税
稣	穌
稱	称
稳	穏
稻	稲
穎	頴
穑	穡
穗	穂
穞	穭
穩	穏
穰	穣
穷	窮
窍	竅
窎	窵
窑	窯
窗	窓
窜	竄
窝	窩
窥	窺
窦	竇
窭	窶
竊	窃
竖	竪
竝	並
竞	競
笃	篤
笋	筍
笑	咲
笔	筆
笕	筧
笮	筰
笺	牋
笼	篭
笾	籩
筑	築
筚	篳
筛	篩
筜	簹
筝	箏
筱	篠
筹	籌
筼	篔
签	簽
筿	篠
简	簡
箋	牋
箓	籙
箦	簀
箧	篋
箨	籜
箩	籮
箪	簞
箫	簫
箬	篛
篑	簣
篓	簍
篡	簒
篦	箆
篮	籃
篯	籛
篱	籬
簖	籪
簞	箪
簷	檐
籁	籟
籐	籘
籠	篭
籴	糴
类	類
粘	黏
粜	糶
粝	糲
粤	粵
粪	糞
粮	糧
粵	粤
粹	粋
紧	緊
紮	扎
絕	絶
絲	糸
絷	縶
經	経
綠	緑
綢	紬
緖	緒
緣	縁
縣	県
縱	縦
總	総
繈	繦
繡	繍
繩	縄
繪	絵
繼	継
纊	絋
續	続
纖	繊
纘	纉
纟	糸
纠	糾
纡	紆
红	紅
纣	紂
纤	繊
纥	紇
约	約
级	級
纨	紈
纩	絋
纪	紀
纫	紉
纬	緯
纭	紜
纮	紘
纯	純
纰	紕
纱	紗
纲	綱
纳	納
纴	紝
纵	縦
纶	綸
纷	紛
纸	紙
纹	紋
纺	紡
纼	紖
纽	紐
纾	紓
线	線
绀	紺
绁	紲
绂	紱
练	練
组	組
绅	紳
细	細
织	織
终	終
绉	縐
绊	絆
绋	紼
绌	絀
绍	紹
绎	繹
经	経
绐	紿
绑	綁
绒	絨
结	結
绔	絝
绕	繞
绖	絰
绗	絎
绘	絵
给	給
绚	絢
绛	絳
络	絡
绝	絶
绞	絞
统	統
绠	綆
绡	綃
绢	絹
绣	繍
绤	綌
绥	綏
绦	絛
继	継
绨	綈
绩	績
绪	緒
绫	綾
绬	緓
续	続
绮	綺
绯	緋
绰	綽
绱	緔
绲	緄
绳	縄
维	維
绵	綿
绶	綬
绷	繃
绸	紬
绹	綯
绺	綹
绻	綣
综	綜
绽	綻
绾	綰
绿	緑
缀	綴
缁	緇
缂	緙
缃	緗
缄	緘
缅	緬
缆	纜
缇	緹
缈	緲
缉	緝
缊	縕
缋	繢
缌	緦
缍	綞
缎	緞
缏	緶
缐	線
缑	緱
缒	縋
缓	緩
缔	締
缕	縷
编	編
缗	緡
缘	縁
缙	縉
缚	縛
缛	縟
缜	縝
缝	縫
缞	縗
缟	縞
缠	纏
缡	縭
缢	縊
缣	縑
缤	繽
缥	縹
缦	縵
缧	縲
缨	纓
缩	縮
缪	繆
缫	繅
缬	纈
缭	繚
缮	繕
缯	繒
缰	繮
缱	繾
缲	繰
缳	繯
缴	繳
缵	纉
缺	欠
缽	鉢
罂	罌
罐	缶
网	網
罗	羅
罚	罰
罢	罷
罴	羆
羁	羈
羇	覊
羟	羥
羡	羨
翘	翹
翙	翽
翚	翬
耀	燿
耢	耮
耧	耬
耸	聳
耻	恥
聂	聶
聋	聾
职	職
聍	聹
联	聯
聩	聵
聪	聡
聰	聡
聲	声
聽	聴
肃	粛
肅	粛
肖	蕭
肠	腸
肤	膚
肮	骯
肾	腎
肿	腫
胀	脹
胁	脅
胄	冑
胜	勝
胧	朧
胨	腖
胪	臚
胫	脛
胭	臙
胶	膠
脉	脈
脍	膾
脏	臓
脐	臍
脑	脳
脓	膿
脔	臠
脚	腳
脫	脱
脶	腡
脸	臉
腊	臘
腌	醃
腘	膕
腦	脳
腭	顎
腳	脚
腻	膩
腼	靦
腽	膃
腾	騰
膑	臏
膻	羶
膽	胆
臜	臢
臟	臓
臺	台
舆	輿
與	与
舉	挙
舊	旧
舍	舎
舖	舗
舣	艤
舰	艦
舱	艙
舻	艫
艰	艱
艳	艶
艷	艶
艹	艸
艺	芸
节	節
芈	羋
芗	薌
芜	蕪
芦	蘆
芸	蕓
苇	葦
苈	藶
苋	莧
苌	萇
苍	蒼
苎	苧
苏	蘇
苧	薴
苹	蘋
范	範
茏	蘢
茑	蔦
茔	塋
茕	煢
茧	繭
荆	荊
荐	薦
荔	茘
荙	薘
荚	莢
荛	蕘
荜	蓽
荝	萴
荞	蕎
荟	薈
荠	薺
荡	蕩
荣	栄
荤	葷
荥	滎
荦	犖
荧	熒
荨	蕁
荩	藎
荪	蓀
荫	蔭
荬	蕒
荭	葒
荮	葤
药	薬
莅	蒞
莊	荘
莓	苺
莖	茎
莱	萊
莲	蓮
莳	蒔
莴	萵
莶	薟
获	獲
莸	蕕
莹	瑩
莺	鴬
莼	蓴
萊	莱
萚	蘀
萝	蘿
萤	蛍
营	営
萦	縈
萧	蕭
萨	薩
萬	万
著	着
葱	蔥
蒇	蕆
蒉	蕢
蒋	蔣
蒌	蔞
蒞	莅
蓝	藍
蓟	薊
蓠	蘺
蓣	蕷
蓥	鎣
蓦	驀
蔣	蒋
蔥	葱
蔷	薔
蔹	蘞
蔺	藺
蔼	藹
蕰	薀
蕲	蘄
蕴	蘊
薮	藪
薰	薫
藏	蔵
藓	蘚
藝	芸
藥	薬
藪	薮
藴	蘊
蘆	芦
蘗	蘖
虏	虜
虑	慮
處	処
虛	虚
號	号
虬	虯
虱	蝨
虽	雖
虾	蝦
虿	蠆
蚀	蝕
蚁	蟻
蚂	螞
蚃	蠁
蚝	蠔
蚬	蜆
蛊	蠱
蛎	蠣
蛏	蟶
蛰	蟄
蛱	蛺
蛲	蟯
蛳	螄
蛴	蠐
蜕	蛻
蜗	蝸
蜡	蝋
蝇	蝿
蝈	蟈
蝉	蟬
蝼	螻
蝾	蠑
螀	螿
螢	蛍
螨	蟎
蟆	蟇
蟏	蠨
蟒	蠎
蟬	蝉
蟲	虫
蠅	蝿
蠍	蝎
蠟	蝋
蠢	惷
蠣	蛎
蠶	蚕
蠻	蛮
衅	釁
衔	啣
衞	衛
补	補
衬	襯
衮	袞
袄	襖
袅	嫋
袆	褘
袜	襪
袭	襲
袯	襏
裆	襠
裈	褌
裊	嫋
裝	装
裡	裏
裢	褳
裣	襝
裤	袴
裥	襇
褛	褸
褲	袴
褴	襤
襕	襴
覺	覚
覽	覧
觀	観
见	見
观	観
觃	覎
规	規
觅	覓
视	視
觇	覘
览	覧
觉	覚
觊	覬
觋	覡
觌	覿
觍	覥
觎	覦
觏	覯
觐	覲
觑	覷
觞	觴
觯	觶
觸	触
訚	誾
詟	讋
誊	謄
說	説
諫	諌
謠	謡
證	証
譯	訳
譽	誉
讀	読
變	変
讎	讐
讓	譲
讚	讃
讠	訁
计	計
订	訂
讣	訃
认	認
讥	譏
讦	訐
讧	訌
讨	討
让	譲
讪	訕
讫	訖
讬	託
训	訓
议	議
讯	訊
记	記
讱	訒
讲	講
讳	諱
讴	謳
讵	詎
讶	訝
讷	訥
许	許
讹	訛
论	論
讻	訩
讼	訟
讽	諷
设	設
访	訪
诀	訣
证	証
诂	詁
诃	訶
评	評
诅	詛
识	識
诇	詗
诈	詐
诉	訴
诊	診
诋	詆
诌	謅
词	詞
诎	詘
诏	詔
诐	詖
译	訳
诒	詒
诓	誆
诔	誄
试	試
诖	詿
诗	詩
诘	詰
诙	詼
诚	誠
诛	誅
诜	詵
话	話
诞	誕
诟	詬
诠	詮
诡	詭
询	詢
诣	詣
诤	諍
该	該
详	詳
诧	詫
诨	諢
诩	詡
诪	譸
诫	誡
诬	誣
语	語
诮	誚
误	誤
诰	誥
诱	誘
诲	誨
诳	誑
说	説
诵	誦
诶	誒
请	請
诸	諸
诹	諏
诺	諾
读	読
诼	諑
诽	誹
课	課
诿	諉
谀	諛
谁	誰
谂	諗
调	調
谄	諂
谅	諒
谆	諄
谇	誶
谈	談
谉	讅
谊	誼
谋	謀
谌	諶
谍	諜
谎	謊
谏	諌
谐	諧
谑	謔
谒	謁
谓	謂
谔	諤
谕	諭
谖	諼
谗	讒
谘	諮
谙	諳
谚	諺
谛	諦
谜	謎
谝	諞
谞	諝
谟	謨
谠	讜
谡	謖
谢	謝
谣	謡
谤	謗
谥	謚
谦	謙
谧	謐
谨	謹
谩	謾
谪	謫
谫	謭
谬	謬
谭	譚
谮	譖
谯	譙
谰	讕
谱	譜
谲	譎
谳	讞
谴	譴
谵	譫
谶	讖
谷	穀
豎	竪
豐	豊
豫	予
豬	猪
豮	豶
豺	犲
貉	狢
貒	猯
貓	猫
貘	獏
貳	弐
賣	売
賤	賎
賴	頼
贊	賛
贗	贋
贝	貝
贞	貞
负	負
贠	貟
贡	貢
财	財
责	責
贤	賢
败	敗
账	賬
货	貨
质	質
贩	販
贪	貪
贫	貧
贬	貶
购	購
贮	貯
贯	貫
贰	弐
贱	賎
贲	賁
贳	貰
贴	貼
贵	貴
贶	貺
贷	貸
贸	貿
费	費
贺	賀
贻	貽
贼	賊
贽	贄
贾	賈
贿	賄
赀	貲
赁	賃
赂	賂
赃	贓
资	資
赅	賅
赆	贐
赇	賕
赈	賑
赉	賚
赊	賒
赋	賦
赌	賭
赍	齎
赎	贖
赏	賞
赐	賜
赑	贔
赒	賙
赓	賡
赔	賠
赕	賧
赖	頼
赗	賵
赘	贅
赙	賻
赚	賺
赛	賽
赜	賾
赝	贋
赞	賛
赟	贇
赠	贈
赡	贍
赢	贏
赣	贛
赪	赬
赵	趙
赶	趕
趋	趨
趕	赶
趱	趲
趸	躉
跃	躍
跄	蹌
跞	躒
跶	躂
跷	蹺
跸	蹕
跹	躚
跻	躋
踊	踴
踌	躊
踐	践
踪	蹤
踬	躓
踯	躑
踴	踊
蹑	躡
蹒	蹣
蹠	跖
蹿	躥
躏	躙
躜	躦
躪	躙
躯	軀
躲	躱
軀	躯
輕	軽
轉	転
车	車
轧	軋
轨	軌
轩	軒
