㕴 0X3574 침
㕵 0X3575 망
㕶 0X3576 은
㕷 0X3577 박
㕸 0X3578 립
㕹 0X3579 벌
㕺 0X357A 효
㕻 0X357B 투
㕼 0X357C 흉
㕽 0X357D 사
㕾 0X357E 솟
㕿 0X357F 향
㖀 0X3580 률
㖁 0X3581 린
㖂 0X3582 예
㖃 0X3583 후
㖄 0X3584 주
㖅 0X3585 술
㖆 0X3586 곡
㖇 0X3587 이
㖈 0X3588 놈
㖉 0X3589 기
㖊 0X358A 심
㖋 0X358B 갯
㖌 0X358C 굿
㖍 0X358D 둣
㖎 0X358E 갯
㖏 0X358F 녈
㖐 0X3590 위
㖑 0X3591 계
㖒 0X3592 제
㖓 0X3593 홍
㖔 0X3594 탄
㖕 0X3595 알
㖖 0X3596 알
㖗 0X3597 음
㖘 0X3598 진
㖙 0X3599 갓
㖚 0X359A 붓
㖛 0X359B 곳
㖜 0X359C 곳
㖝 0X359D 끗
㖞 0X359E 괘
㖟 0X359F 수
㖠 0X35A0 나
㖡 0X35A1 야
㖢 0X35A2 자
㖣 0X35A3 투
㖤 0X35A4 함
㖥 0X35A5 군
㖦 0X35A6 동
㖧 0X35A7 혼
㖨 0X35A8 록
㖩 0X35A9 추
㖪 0X35AA 획
㖫 0X35AB 릉
㖬 0X35AC 수
㖭 0X35AD 첨
㖮 0X35AE 륜
㖯 0X35AF 똥
㖰 0X35B0 똥
㖱 0X35B1 뱀
㖲 0X35B2 엿
㖳 0X35B3 엿
㖴 0X35B4 홀
㖵 0X35B5 구
㖶 0X35B6 열
㖷 0X35B7 시
㖸 0X35B8 갹
㖹 0X35B9 분
㖺 0X35BA 춘
㖻 0X35BB 뉴
㖼 0X35BC 모
㖽 0X35BD 책
㖾 0X35BE 악
㖿 0X35BF 사
㗀 0X35C0 유
㗁 0X35C1 악
㗂 0X35C2 생
㗃 0X35C3 문
㗄 0X35C4 만
㗅 0X35C5 호
㗆 0X35C6 객
㗇 0X35C7 하
㗈 0X35C8 만
㗉 0X35C9 략
㗊 0X35CA 집
㗋 0X35CB 후
㗌 0X35CC 질
㗍 0X35CD 재
㗎 0X35CE 가
㗏 0X35CF 왜
㗐 0X35D0 갑
㗑 0X35D1 배
㗒 0X35D2 애
㗓 0X35D3 추
㗔 0X35D4 건
㗕 0X35D5 구
㗖 0X35D6 담
㗗 0X35D7 패
㗘 0X35D8 박
㗙 0X35D9 추
㗚 0X35DA 률
㗛 0X35DB 소
㗜 0X35DC 후
㗝 0X35DD 고
㗞 0X35DE 파
㗟 0X35DF 줏
㗠 0X35E0 비
㗡 0X35E1 잇
㗢 0X35E2 동
㗣 0X35E3 제
㗤 0X35E4 축
㗥 0X35E5 곽
㗦 0X35E6 로
㗧 0X35E7 질
㗨 0X35E8 해
㗩 0X35E9 습
㗪 0X35EA 피
㗫 0X35EB 절
㗬 0X35EC 차
㗭 0X35ED 실
㗮 0X35EE 명
㗯 0X35EF 잣
㗰 0X35F0 종
㗱 0X35F1 집
㗲 0X35F2 획
㗳 0X35F3 탑
㗴 0X35F4 안
㗵 0X35F5 훌
㗶 0X35F6 발
㗷 0X35F7 새
㗸 0X35F8 위
㗹 0X35F9 초
㗺 0X35FA 비
㗻 0X35FB 과
㗼 0X35FC 업
㗽 0X35FD 향
㗾 0X35FE 화
㗿 0X35FF 하
㘀 0X3600 작
㘁 0X3601 역
㘂 0X3602 자
㘃 0X3603 야
㘄 0X3604 릉
㘅 0X3605 함
㘆 0X3606 대
㘇 0X3607 영
㘈 0X3608 의
㘉 0X3609 즐
㘊 0X360A 읍
㘋 0X360B 현
㘌 0X360C 극
㘍 0X360D 질
㘎 0X360E 함
㘏 0X360F 돗
㘐 0X3610 표
㘑 0X3611 례
㘒 0X3612 씻
㘓 0X3613 란
㘔 0X3614 새
㘕 0X3615 람
㘖 0X3616 안
㘗 0X3617 구
㘘 0X3618 비
㘙 0X3619 암
㘚 0X361A 함
㘛 0X361B 감
㘜 0X361C 수
㘝 0X361D 닙
㘞 0X361E 자
㘟 0X361F 창
㘠 0X3620 벽
㘡 0X3621 합
㘢 0X3622 옹
㘣 0X3623 선
㘤 0X3624 완
㘥 0X3625 와
㘦 0X3626 근
㘧 0X3627 서
㘨 0X3628 괴
㘩 0X3629 비
㘪 0X362A 모
㘫 0X362B 정
㘬 0X362C 불
㘭 0X362D 요
㘮 0X362E 척
㘯 0X362F 장
㘰 0X3630 짐
㘱 0X3631 담
㘲 0X3632 국
㘳 0X3633 구
㘴 0X3634 좌
㘵 0X3635 포
㘶 0X3636 걸
㘷 0X3637 애
㘸 0X3638 좌
㘹 0X3639 자
㘺 0X363A 벌
㘻 0X363B 인
㘼 0X363C 고
㘽 0X363D 재
㘾 0X363E 우
㘿 0X363F 녈
㙀 0X3640 구
㙁 0X3641 매
㙂 0X3642 태
㙃 0X3643 병
㙄 0X3644 폐
㙅 0X3645 보
㙆 0X3646 홍
㙇 0X3647 촉
㙈 0X3648 하
㙉 0X3649 전
㙊 0X364A 장
㙋 0X364B 기
㙌 0X364C 소
㙍 0X364D 철
㙎 0X364E 위
㙏 0X364F 복
㙐 0X3650 타
㙑 0X3651 우
㙒 0X3652 야
㙓 0X3653 규
㙔 0X3654 위
㙕 0X3655 괴
㙖 0X3656 우
㙗 0X3657 외
㙘 0X3658 요
㙙 0X3659 롱
㙚 0X365A 성
㙛 0X365B 보
㙜 0X365C 대
㙝 0X365D 협
㙞 0X365E 얼
㙟 0X365F 랑
㙠 0X3660 예
㙡 0X3661 종
㙢 0X3662 만
㙣 0X3663 장
㙤 0X3664 하
㙥 0X3665 곤
㙦 0X3666 사
㙧 0X3667 류
㙨 0X3668 기
㙩 0X3669 료
㙪 0X366A 예
㙫 0X366B 집
㙬 0X366C 은
㙭 0X366D 궐
㙮 0X366E 답
㙯 0X366F 예
㙰 0X3670 해
㙱 0X3671 호
㙲 0X3672 옹
㙳 0X3673 감
㙴 0X3674 첨
㙵 0X3675 대
㙶 0X3676 당
㙷 0X3677 칩
㙸 0X3678 박
㙹 0X3679 몽
㙺 0X367A 궤
㙻 0X367B 전
㙼 0X367C 루
㙽 0X367D 석
㙾 0X367E 각
㙿 0X367F 희
㚀 0X3680 희
㚁 0X3681 교
