涩	澀
淀	澱
淆	淆
渊	淵
渍	漬
渎	瀆
渐	漸
渔	漁
渗	滲
温	溫
游	遊	游
湾	灣
湿	濕	溼
溃	潰
溅	濺
溪	谿	溪
溯	溯
滚	滾
滞	滯
满	滿
滤	濾
滥	濫
滦	灤
滨	濱
滩	灘
漓	漓	灕
演	演	縯
潇	瀟
潜	潛
澜	瀾
濑	瀨
濒	瀕
灭	滅
灯	燈
灵	靈
灶	灶
灾	災
灿	燦
炀	煬
炉	爐
炖	燉
炫	炫	衒
炮	炮	砲
点	點
炼	煉	鍊
炽	熾
烁	爍
烂	爛
烛	燭
烟	煙	菸
烦	煩
烧	燒
烨	燁
烩	燴
烫	燙
热	熱
焊	焊	銲
焕	煥
焖	燜
焰	焰	燄
熏	熏	燻
爱	愛
爷	爺
牍	牘
牦	犛
牵	牽
牺	犧
犊	犢
状	狀
犷	獷
犹	猶
狈	狽
狞	獰
独	獨
狭	狹
狮	獅
狰	猙
狱	獄
狸	狸	貍
猎	獵
猡	玀
猪	豬
猫	貓
献	獻
獭	獺
玑	璣
玛	瑪
玩	玩	翫
玮	瑋
环	環
现	現
玺	璽
珏	玨
珐	琺
珑	瓏
珲	琿
琅	瑯	琅
琐	瑣
琼	瓊
瑶	瑤
瑷	璦
璇	璇	璿
瓮	甕
瓯	甌
瓶	瓶	缾
电	電
画	畫
畅	暢
畴	疇
疗	療
疟	瘧
疠	癘
疡	瘍
疮	瘡
疯	瘋
疱	疱	皰
疴	痾
症	症	癥
痈	癰
痉	痙
痒	癢
痨	癆
痪	瘓
痴	痴
痹	痺
瘘	瘻
瘪	癟
瘫	癱
瘾	癮
癞	癩
癣	癬
癫	癲
皑	皚
皱	皺
盏	盞	醆
盐	鹽
监	監
盖	蓋
盗	盜
盘	盤
眬	矓
眯	瞇
着	著
睁	睜
睐	睞
睹	睹
睿	睿
瞒	瞞
瞩	矚
矫	矯
矶	磯
矾	礬
矿	礦
码	碼
砖	磚
砚	硯
砺	礪
砾	礫
础	礎
硕	碩
确	確
硷	鹼
碍	礙
碰	碰	踫
碱	鹼
磷	磷	燐
礼	禮
祯	禎
祷	禱
祸	禍
禀	稟
禄	祿
禅	禪
离	離
秃	禿	鵚
秆	稈
秋	秋	鞦
种	種
秘	秘	祕
积	積
称	稱
移	移	迻
秽	穢
税	稅
稣	穌
稳	穩
穑	穡
穗	穗	繐
穷	窮
窃	竊
窍	竅
窑	窯
窜	竄
窝	窩
窥	窺	闚
窦	竇
竖	豎
竞	競
笃	篤
笋	筍
笔	筆
笺	箋	牋
笼	籠
筑	築	筑
答	答	荅
筛	篩
筝	箏
筱	篠
筹	籌
签	簽	籤
简	簡
箧	篋
箩	籮
箪	簞
箫	簫
箬	篛
篑	簣
篓	簍
篮	籃
篱	籬
籁	籟
籴	籴	糴
类	類
粗	粗	麤
粘	黏
粤	粵
粪	糞
粮	糧
粽	粽
糊	糊	餬
糟	糟	蹧
系	系	係	繫
紧	緊
累	累	纍
纠	糾
红	紅
纣	紂
纤	纖	縴
纥	紇
约	約
级	級
纪	紀
纫	紉
纬	緯
纭	紜
纯	純
纰	紕
纱	紗
纲	綱
纳	納
纴	紝
纵	縱
纶	綸
纷	紛
纸	紙
纹	紋
纺	紡
纽	紐
线	線
绁	紲
练	練
组	組
绅	紳
细	細
织	織
终	終
绊	絆
绋	紼
绌	絀
绍	紹
绎	繹
经	經
绑	綁
绒	絨
结	結
绕	繞	遶
绘	繪
给	給
绚	絢
络	絡
绝	絕
绞	絞
统	統
绢	絹
绣	繡
绥	綏
绦	絛	縚
继	繼
绩	績
绪	緒
绫	綾
续	續
绮	綺
绰	綽
绳	繩
维	維
绵	綿
绷	繃
绸	綢
综	綜
绽	綻
绾	綰
绿	綠
缀	綴
缁	緇
缄	緘
缅	緬
缆	纜
缉	緝
缍	綞
缎	緞
缓	緩
缔	締
缕	縷
编	編
缘	緣
缚	縛
缝	縫
缠	纏
缢	縊
缣	縑
缤	繽
缧	縲
缨	纓
缩	縮
缪	繆
缫	繅
缭	繚
缮	繕
缰	繮	韁
缴	繳
罐	罐
网	網
罗	羅	囉
罚	罰
罢	罷
羁	羈
羡	羨
群	群
翘	翹
耸	聳
耻	恥
聂	聶
聋	聾
职	職
联	聯
聪	聰
肃	肅
肖	蕭	肖
肠	腸
肤	膚
肮	骯
肴	肴	餚
肾	腎
肿	腫
胀	脹
胁	脅
胆	膽
背	背	揹
胜	勝
胡	胡	鬍	衚
胧	朧
胪	臚
胫	脛
胭	胭
胶	膠
脉	脈
脍	膾
脏	髒	臟
脐	臍
脑	腦
脓	膿
脚	腳
脱	脫
脸	臉
腊	臘
腌	醃
腻	膩
腼	靦
腾	騰
膑	臏
膻	羶
臀	臀
致	致	緻
舆	輿
舍	捨	舍
舰	艦	䚀
舱	艙
艰	艱
艳	豔
艺	藝
节	節
芜	蕪
芦	蘆
芸	蕓	芸
苇	葦
苍	蒼
苎	苧
苏	甦	蘇	囌
苹	蘋
范	範
茎	莖
茧	繭
荆	荊
荐	薦
荚	莢
荡	蕩	盪
荣	榮
荤	葷
荦	犖
荪	蓀
荫	蔭	廕
药	藥	葯
莅	蒞
莱	萊
莲	蓮
莴	萵
获	獲	穫
莹	瑩
莺	鶯
莼	蒓	蓴
萝	蘿
萤	螢
营	營
萦	縈
萧	蕭
萨	薩
葱	蔥
蒋	蔣
蒙	蒙	懞	濛	矇
蓑	蓑	簑
蓝	藍
蓦	驀
蔑	蔑	衊
蔷	薔
蔺	藺
蔼	藹
蕴	蘊
薮	藪
藓	蘚
藤	藤	籐
虏	虜
虑	慮
虚	虛
虫	蟲
虬	虯
